"id_all","Headline","codeN","missword","sampleloc"
53984,"森首相、退陣の意向表明　総裁選「参院選前に」　自民五役と会談",NA,NA,3060
27866,"河野自民総裁、内閣不信任案の提出明言　社党連携、視野に",NA,NA,1871
79985,"与謝野氏らに要職検討　麻生氏、早期解散を示唆　自民党総裁選討論会",NA,NA,4110
43124,"標準世帯、７万２５００円に　特別減税自民方針",NA,NA,2397
63525,"自民執行部人事　派内秩序吹き飛ぶ　４９歳誕生日の安倍氏「私でいいんですか」 ",NA,NA,3414
92542,"集団的自衛権行使容認、慎重論が噴出　自民が党内論議",NA,NA,4694
14683,"掃海艇派遣、早急に結論　北方四島の返還は譲らず　海部首相が小渕幹事長と会談 ",NA,NA,912
5662,"政治改革案取りまとめ、４月中に／自民党 ",NA,NA,292
8741,"老人医療費の患者自己負担増見送り　総選挙へ政治判断　政府・自民",NA,NA,630
43918,"デフレ対策に「調整インフレ」検討　山崎自民党政調会長が表明 ",NA,NA,2442
92370,"原発新増設、自民に促す　電力業界、議員に「模範回答」配布　政権方針超え、利益前面",NA,NA,4686
30422,"日銀の独立性強調　「低金利政策に変更ない」　松下新総裁が初会見 ",NA,NA,1953
12544,"平和協力法案の修正に前向き　野党に代案求める／海部首相・小沢幹事長 ",NA,NA,759
19627,"ＰＫＯ協力法案　民社党の「国会承認」範囲拡大要求　自民と公明受け入れで決着 ",NA,NA,1231
43747,"「破たん」の受け皿銀行構想　来月初旬に具体策　米財務副長官に加藤幹事長表明 ",NA,NA,2419
22610,"憲法見直し本格論議スタート　自民調査会",NA,NA,1465
97130,"減反５年後廃止　決定　自民了承　農業強化策　明記へ",NA,NA,4666
21338,"「小渕会長」を決定　小沢系欠席のまま　自民党竹下派幹部会",NA,NA,1353
43665,"不良債権処理に受け皿銀　自民、具体化に着手　整理回収銀の改組が軸",NA,NA,2414
65649,"年金改革法案　連休前に委員会採決／自公方針 ",NA,NA,3492
77886,"補助金受け、自民に献金　１０９企業・団体、計７億８０００万円　０６年分",NA,NA,4017
53877,"日銀、０．１％利下げ　公定歩合を０．２５％に　速水総裁、一層の緩和示唆 ",NA,NA,3050
