"id_all","Headline","codeN","missword","sampleloc"
45716,"少年法の刑罰対象「１４歳以上」　自民小委が法相に報告書提出へ ",NA,NA,8820
66367,"米民主党副大統領候補にエドワーズ氏 ",NA,NA,11889
53381,"運転代行業に２種免許義務化　警察庁など、法規制へ試案公表",NA,NA,10102
88468,"「今国会で退陣を」７割　菅内閣支持率、最低１５％　朝日新聞社世論調査",NA,NA,14830
44832,"破たん前処理、健全行へも資本注入可能に　自民案、野党に提示",NA,NA,8665
50119,"「予算阻止なら解散」　小渕首相、野党をけん制",NA,NA,9556
89534,"「知事が教育目標」明記　大阪府条例、３月に成立へ",NA,NA,14986
90695,"鳩山元首相、総選挙への出馬断念　首相に「引退」伝える意向",NA,NA,15291
74312,"社保庁改革の与党原案　強制徴収権を厚労相に移管　職員は民間委託で半減 ",NA,NA,12820
33535,"コスモ信組処理、２００億円支出で可決　旧二信組は棚上げ　都議会",NA,NA,6673
72391,"暫定ヘリ施設提案　稲嶺・沖縄知事見解、辺野古崎拒み",NA,NA,12617
13634,"再開国会　湾岸支援が争点に　きょう２５日は海部首相の施政方針など政府４演説 ",NA,NA,2448
65212,"統治評、イラク基本法に署名　民選議会に強い権限 ",NA,NA,11748
29440,"［今週この人］アジア大会開幕が目前の広島市長　平岡敬さん６６ ",NA,NA,5819
38135,"羽田新党、２６日にも結成　小沢氏の慰留失敗　新進結党２年で分裂",NA,NA,7607
96641,"［現場から・１３参院選］（１）アベノミクス　大阪対決（連載）その１",NA,NA,15562
89868,"（カオスの深淵）選挙を疑う：２　あなたは１票、ママなら２票",NA,NA,15050
87867,"首相、退陣拒否　参院予算委 ",NA,NA,14763
32701,"防衛費抑制への自民批判に反論／久保社党書記長 ",NA,NA,6528
65614,"きょうから国会正常化　与野党が合意 ",NA,NA,11777
93472,"（問う：４）地方の未来図、描けるか　２０１４衆院選",NA,NA,15995
18311,"「共和汚職」などの参考人招致案が有力に　国会打開で自民首脳ら意向 ",NA,NA,3212
90767,"（公約を問う：６）デフレ、悪循環に　総選挙",NA,NA,15349
12405,"［転換期の日本政治］第二部（１）国際責務を問う　憲法と自衛隊（連載） ",NA,NA,2226
24715,"４党首の入閣確認　政治改革法案の９月提出を表明　細川新首相",NA,NA,4746
1812,"所属外の委員会への工作も議員職務権限と判断　タクシー汚職、最高裁が棄却 ",NA,NA,233
30129,"新・新党の党名を「新進党」と決定／新党準備会 ",NA,NA,6006
92866,"負担増・サービス縮小　医療・介護改革法が成立",NA,NA,15847
75513,"国民投票法案、参院へ",NA,NA,12991
58877,"鈴木議員をあっせん収賄容疑で逮捕　口利きでわいろ５００万円＝号外も発行 ",NA,NA,10888
35223,"参院岐阜補選、きょう告示",NA,NA,7046
46484,"中村法相辞任論強まる　政府与党、予算にらみ判断",NA,NA,8942
44383,"衆院補選　富山２区、自民・宮腰光寛氏　石川１区、民主・奥田建氏 ",NA,NA,8595
82551,"退陣阻止狙った民主　「自民が麻生信任」演出　衆院の不信任案否決、参院の問責は可決",NA,NA,13981
6009,"自民、単独で審議強行　「疑惑隠し」と野党反発　衆院予算委",NA,NA,918
56316,"与党の３幹事長がパキスタン訪問へ ",NA,NA,10556
37328,"読売新聞各党幹部座談会　与党３党が消費税５％明言 ",NA,NA,7447
17510,"国会会期１５―１７日間延長へ　ＰＫＯ法案審議で ",NA,NA,3072
17572,"ＰＫＯ法案　今国会の成立困難に　社会、共産強硬で審議時間確保できず ",NA,NA,3089
70526,"岡山市長に高谷茂男氏当選",NA,NA,12406
6780,"選挙迫り“見切り発車”　４野党の政治資金規正法改正要綱＜解説＞",NA,NA,1125
25905,"政治改革法案がきょう衆院通過　自民の「造反」１０人超す可能性　採決は記名で ",NA,NA,5020
252,"不破氏、副議長に　委員長には村上氏　共産党大会閉幕",NA,NA,32
78908,"児童ポルノ遮断の法改正案　業界の協力不可欠（解説） ",NA,NA,13529
8384,"参院税特委、きょう審議開始　「法案ミス」修正で合意",NA,NA,1493
78590,"ガソリン暫定税率の失効は不可避　野党、修正協議を拒否 ",NA,NA,13494
31111,"大阪知事選　中川氏、再出馬断念　ヤミ献金事件ひびく ",NA,NA,6216
43286,"訴えの洪水　フィリピンで同時選挙",NA,NA,8391
82831,"衆院選　各党が比例名簿発表　自民単独候補１９減、民主は４９増 ",NA,NA,14057
75915,"年金記録漏れ問題　救済法案を提出／政府・与党 ",NA,NA,13058
38901,"和同開珎の「枝銭」出土　難波宮跡近くの細工谷遺跡　鋳造法解明資料に／大阪 ",NA,NA,7713
93366,"望月環境相側、政治資金収支合わず　イベント費７４２万円　「誤って支出記載」",NA,NA,15942
39144,"オレンジ共済組合事件　欠席の斎藤氏、２４日にも証人喚問／参院予算委 ",NA,NA,7738
61170,"プレ統一地方選　愛媛県知事選　加戸守行氏が再選 ",NA,NA,11164
29588,"民改連、新・新党へ参加せず　参院選にらみ中立保つ",NA,NA,5858
34234,"公的資金の導入明記　住専処理で与党が指針提示 ",NA,NA,6812
6759,"参院選、自民は「過半数」厳しい情勢　選挙区選当選圏内は４０人弱／読売調査 ",NA,NA,1122
58278,"郵政２法案、党承認省き提案へ　小泉首相、党内手続き並行",NA,NA,10813
21689,"不況に乗じて悪徳商法再燃　相談件数は最盛期超すペース　若者に触手　",NA,NA,3882
8346,"消費税審議　参院の採決は１２月上旬に ",NA,NA,1488
45712,"刑事罰、１４歳以上に　自民小委正式提言　少年法改正",NA,NA,8818
85043,"英保守党、連立に前向き　３０６議席獲得、交渉本格化",NA,NA,14403
78108,"暫定税率つなぎ法案、与党が提出　きょう衆院通過図る ",NA,NA,13446
76795,"テロ特措法、給油継続へ新法検討　政府・与党、民主の協力狙う",NA,NA,13234
24861,"山花社党委員長の訪韓、来月上旬で調整　金大統領と会談の意向",NA,NA,4788
32322,"戦後５０年決議　野党欠席の場合、参院は見送りも　連立与党が検討 ",NA,NA,6461
98629,"［地球を読む］米中間選挙　竹森俊平（寄稿）その１",NA,NA,15964
11168,"ソ連党大会　政治局を大幅拡大　１５共和国第一書記参加の草案を承認 ",NA,NA,2108
69877,"学校独自にクラス編成　少人数や習熟度別、小中に裁量　文科省が法改正案",NA,NA,12231
54415,"青森市長選　佐々木誠造氏が４選 ",NA,NA,10302
42964,"［政治は変わったか］第３部政党交付金（１）政治不信を助長（連載） ",NA,NA,8338
69166,"中台対話、早期再開へ合意　台湾第２野党主席と胡主席が会談 ",NA,NA,12155
26670,"自社の党内亀裂、深刻に　政治改革法案で与野党合意が成立＜解説＞",NA,NA,5216
36978,"部隊単位で武器使用も　指揮官判断を容認　ＰＫＯ協力法見直し報告書",NA,NA,7334
53790,"森内閣不信任案採決前に自発的辞意表明を／公明党幹部 ",NA,NA,10187
9768,"イタリア共産党　新党結成を採択　欧州社民路線へ転換 ",NA,NA,1872
31125,"東京都知事選　自民が石原官房副長官の擁立決める ",NA,NA,6219
40001,"２００１年までに相互参入達成　預金者らの保護法も　ビッグバン全容",NA,NA,7893
90158,"民主、衆院３７人除名へ　１人離党撤回、小沢新党４８人に　鳩山氏は資格停止６カ月",NA,NA,15139
86623,"沖縄知事選　伊波・仲井真氏が横一線　本社情勢調査 ",NA,NA,14639
31243,"「国政に民意反映されない」６８％　史上２位、政治不信強まる／総理府世論調査 ",NA,NA,6252
90669,"（追跡　乱流総選挙）「一発で倒す」野田首相、前夜の決意　解散表明",NA,NA,15269
81759,"補正予算、過去最大１５兆円　子ども手当支給へ　政府・与党",NA,NA,13854
6526,"参院選日程、７月５日公示の７月２３日投票 ",NA,NA,1066
9605,"ニカラグア革命政権、敗北　チャモロ女史が勝利　大統領選挙　",NA,NA,1829
25645,"テレビ朝日前局長発言問題　「個人見解」と証言　衆院委で調査継続 ",NA,NA,4951
42560,"予算成立後の補正編成に含み　橋本首相答弁／衆院予算委 ",NA,NA,8273
32020,"９５年度「補正」１８日衆院通過で与野党が合意　成立時期はなお調整 ",NA,NA,6413
51248,"森的なるもの（何を問うか　２０００年総選挙：上）",NA,NA,9755
31372,"「長銀にも責任」　参院予算委で武村蔵相　２信組問題",NA,NA,6278
80401,"衆院選年内見送り　追加景気策２６兆９０００億円　消費税３年後上げ、首相表明 ",NA,NA,13695
58251,"井上参院議長が辞任　後任に竹山・斎藤氏の名　国会、週明け正常化",NA,NA,10806
31108,"全逓・全電通、「山花新党」見直し　幅広い勢力結集へ",NA,NA,6214
65826,"年金法案、来月上旬にも成立　衆院を通過、民主９人が造反 ",NA,NA,11803
99007,"周辺事態法改正案　シーレーンで後方支援　「日本に重要影響」要件",NA,NA,16114
33197,"“共犯”の政治、鈍い反応（金融破たん　戦後５０年のつけ：中）",NA,NA,6615
63859,"中曽根氏が衆院選出馬を見送りへ　あす小泉首相と再会談も ",NA,NA,11544
24433,"政治改革よりも福祉・景気重視　衆院選の「投票基準」　読売新聞社１１万人調査 ",NA,NA,4600
12725,"福岡市長選　桑原敬一氏が再選 ",NA,NA,2315
41862,"小沢一郎氏、立候補の意向　先送り困難と判断　新進党首選",NA,NA,8136
8626,"野党４会派提出の消費税廃止法案、参院で１１日採決へ",NA,NA,1561
37778,"国内開催地、１０会場に絞り込みへ　１５自治体も了承　Ｗ杯サッカー",NA,NA,7557
61231,"山梨知事に山本栄彦氏　愛知県知事選、広島・甲府市長選も投開票",NA,NA,11174
43918,"デフレ対策に「調整インフレ」検討　山崎自民党政調会長が表明 ",NA,NA,8504
613,"第１１２通常国会、あす召集",NA,NA,60
23410,"民間政治臨調、小選挙区・比例“連用制”まとめる　小選挙区３００、比例２００ ",NA,NA,4226
86032,"鈴木宗男議員、失職・収監へ　受託収賄など、最高裁が上告棄却",NA,NA,14569
17117,"［難局に向かう宮沢政権］（１）党内基盤　頼みの竹下派にきしみ（連載） ",NA,NA,2991
64278,"近藤浩議員を逮捕　総選挙で現金渡し買収容疑、「備品費」と否認",NA,NA,11633
23927,"首相、妥協案づくり支持　野党側「連用制を軸」で一致　政治改革　",NA,NA,4364
84929,"官の備品購入、ネット入札　「１兆円節約」　参院選・民主マニフェスト",NA,NA,14382
14801,"４２６市区町村長、１４３２議員選　きょう２１日投票／統一地方選後半戦 ",NA,NA,2614
32757,"参院選、あす投開票　投票率も焦点に",NA,NA,6537
49099,"「禁止し、新制度に」　企業献金で森喜朗・自民党幹事長",NA,NA,9350
54503,"衆院小選挙区の区割り見直し本格化　山形・島根、削減に反対",NA,NA,10318
89726,"普天間切り離し「賢明な行動」　米上院外交委・ウェッブ議員",NA,NA,15015
36824,"小選挙区、一票の格差２．３倍に拡大　総人口１億２４９１万／住民基本台帳調査 ",NA,NA,7309
26777,"増減税　きょう代表者会議で調整　与党協議不調なら細川首相の「再決断」も ",NA,NA,5262
22589,"衆院予算委きょうも再開困難　佐川「喚問」で与野党物別れ ",NA,NA,4069
46590,"小渕内閣支持率、３３％に下落　自民党は上昇　朝日新聞社世論調査",NA,NA,8962
90677,"衆院比例区の投票先は、自民２３％・民主１６％　朝日新聞社世論調査",NA,NA,15276
21496,"プランと現実（米国の選択　クリントン民主党政権へ：２）",NA,NA,3822
45352,"「自自連立」　党内調整は慎重に／自民・森幹事長 ",NA,NA,8758
25289,"本間・宮城県知事を逮捕　大成建から２０００万収賄容疑／東京地検 ",NA,NA,4884
41353,"神奈川・川崎市長選　高橋清氏が３選 ",NA,NA,8068
47936,"介護保険料、６５歳以上は半額に　自民党が負担軽減方針　市町村に補助金 ",NA,NA,9189
26162,"政治改革法案成立「今国会で」を確認／連立与党 ",NA,NA,5076
7185,"参院選　社党は倍増　自民半減、空前の大敗　与野党逆転、宇野首相退陣表明へ ",NA,NA,1236
9711,"補正予算案の衆院通過、１２日以降にずれ込みも",NA,NA,1855
39262,"特措法で橋本首相と小沢新進党首が意見交換　きょうにも再会談 ",NA,NA,7759
80643,"年金、組織的改ざん認定　手法継承、職員が証言　調査委報告",NA,NA,13726
55516,"靖国参拝、週明けに最終判断　小泉首相が与党幹事長と会談 ",NA,NA,10483
98997,"産業スパイ　罰金１０億円　政府が法改正案　企業の不正　厳罰化",NA,NA,16112
23508,"総選挙実施へ決意　パリ協定署名国が声明　カンボジア和平問題",NA,NA,4243
49277,"自由党、２次補正案に賛成　自自党首会談で「連立合意実現に努力」再確認 ",NA,NA,9393
47392,"自民総裁選繰り上げへ　８月下旬にも告示　臨時国会は９月",NA,NA,9105
50038,"国会正常化　民主党、協議に応じる方針　鳩山代表が審議拒否解除も示唆 ",NA,NA,9531
50656,"総選挙投票、６月１８日を軸に調整　解散は来月後半か",NA,NA,9650
62745,"テロ特措法、改正案は継続審議　イラク特措法案を優先／与党方針 ",NA,NA,11367
58248,"議員、公設秘書に親族２５％　朝日新聞社アンケート",NA,NA,10805
33154,"盛岡市長に桑島博氏",NA,NA,6609
85564,"参院選　消費税　小手先発言に不信　政治部長　村岡彰敏 ",NA,NA,14519
43762,"参院選「関心ない」４５％　投票率低下の恐れ／読売新聞社全国世論調査 ",NA,NA,8469
68307,"福井知事、「もんじゅ」改造を了承　火災事故から１０年　２００８年にも運転 ",NA,NA,12065
80504,"給付金の辞退目安、所得１８００万円　与党最終調整、きょう決定 ",NA,NA,13705
18353,"前橋市長選が告示　新人と現職の２人が届け出 ",NA,NA,3222
6416,"自民が政治改革大綱を決定　小選挙区比例制を導入　政治資金・資産公開法も盛る ",NA,NA,1032
12408,"海部首相、中東への自衛隊派遣は「憲法の枠内」強調　衆院代表質問",NA,NA,2227
44664,"食料供給力を強化　株式会社の農地取得、条件付きで解禁／新農業基本法最終答申 ",NA,NA,8635
92731,"国会議員、不透明な借金頼み　「選挙・政治活動に」衆参５３人回答　朝日新聞調査",NA,NA,15812
34619,"連立与党首相候補　橋本氏擁立を決定　外相に池田行彦氏浮上 ",NA,NA,6909
15362,"選挙制度審、２５日めどに答申　海部首相諮問　自民案に沿い区割り",NA,NA,2683
23897,"社会党「連用制を軸」提案へ　６野党・会派の首脳、あす会談",NA,NA,4354
44095,"小渕自民党総裁、蔵相に宮沢元首相を検討　副総理兼任で要請へ ",NA,NA,8561
26604,"政治改革法案否決　「政治の責任」忘れた国会／政治部長・老川祥一 ",NA,NA,5185
22360,"通常国会、あす召集　野党側、佐川解明の構え",NA,NA,4016
24885,"「２大政権勢力」めざす　公明党大会で石田・市川両氏が強調",NA,NA,4792
44065,"中堅ゼネコンの浅川組が会社更生法申請　負債総額６００億円 ",NA,NA,8549
70271,"自民圧勝、２９６議席　与党３２７、衆院の３分の２超す　総選挙",NA,NA,12368
83859,"民主・小沢氏、政治利用を否定　羽毛田・宮内庁長官を批判　天皇特例会見",NA,NA,14231
93361,"「秘密法反対」　若者、渋谷デモ",NA,NA,15937
49553,"共産、第一党に　ロシア下院選",NA,NA,9446
62478,"イラク新法　小泉首相きょう与党協議指示 ",NA,NA,11329
30282,"新進党、羽田・米沢・海部氏で党首選　幹事長、無投票で小沢氏",NA,NA,6048
59363,"鈴木議員を受託収賄容疑で再逮捕　開発局幹部「指示」認める／東京地検 ",NA,NA,10961
17098,"宮沢喜一・自民党新総裁に望む　政治部長・小栗敬太郎",NA,NA,2984
5907,"政治活動に年９４００万円　４割を企業献金で　自民代議士アンケート",NA,NA,891
48195,"民主党が内閣不信任案　組織犯罪３法案の成立、きょう以降に ",NA,NA,9243
97294,"猪瀬知事　辞職へ　徳洲会５０００万円引責　きょう記者会見で表明",NA,NA,15711
69960,"「政権取れねば退く」　総選挙で民主・岡田代表表明",NA,NA,12255
76218,"参院選党首討論　安倍首相「経済・教育実績問う」　小沢氏「与野党逆転を」 ",NA,NA,13114
48175,"小渕首相、党首会談の意向　小沢氏、なお強硬　衆院定数削減",NA,NA,9235
18689,"社党・上野衆院議員辞職　不祥事の辞職、近年では６件 ",NA,NA,3305
39206,"「政治に関心」急落５２％　再編期待も冷える　朝日新聞静岡定点調査",NA,NA,7749
