"id_all","Headline","codeN","cabinetmatch","ldpmatch","politicsmatch"
2343,"竹下首相、核実験検証めざし「日本会議」提唱へ　国連軍縮総会",NA,446,NA,NA
19636,"ＰＫＯ法案、自公民合意で成立の見通し　自民首脳が表明",NA,NA,1233,NA
34074,"２信組事件　山口敏夫議員、取り調べへ　背任関与の疑い／東京地検 ",NA,NA,NA,6770
15259,"「対ソ支援は必要」　域外派兵に意欲　ドイツのコール首相会見",NA,3284,NA,NA
48778,"２次補正予算、５－６兆円の認識　宮沢喜一蔵相が表明",NA,9382,NA,NA
12529,"国連平和協力法案、不成立の公算大　参院でメド立たず",NA,NA,NA,2263
30192,"新進党に民社党の大内前委員長が不参加示唆　自民との連携を模索か",NA,NA,1944,NA
26456,"政治改革法案　「戸別訪問」全面禁止に　連立与党が修正案を自民に打診 ",NA,NA,1805,5142
70106,"国民新党に津島恭一氏加入　長谷川氏は新党日本へ　「政党要件」支援 ",NA,NA,NA,12305
75642,"公営住宅から暴力団排除、１６自治体が検討　条例化３県市のみ／読売新聞社調査 ",NA,NA,NA,13016
53254,"省庁再編　政治主導の実現、半数が疑問視／読売新聞社全国世論調査 ",NA,NA,NA,10091
92246,"戦後の礎、壊しかねない　安倍首相、靖国参拝　編集委員・前田直人",NA,16653,NA,NA
51651,"そごう民事再生法申請　労働省が雇用調整助成金支給に向け検討 ",NA,NA,NA,9862
82407,"一般歳出５２．７兆円規模　概算要求基準、過去最大に　首相重点枠３５００億円 ",NA,14245,NA,NA
69666,"「郵政」５票差で衆院通過　自民、大量造反　反対３７人、棄権・欠席１４人 ",NA,NA,3618,12211
22110,"パニッチ首相不信任　新ユーゴスラビア議会",NA,4701,NA,NA
5555,"「補正」予算案成立は６日以降　野党、リ疑惑追及へ",NA,NA,NA,811
58082,"有事法最終案　武器使用、防衛出動前も容認　首相に代執行権 ",NA,10832,NA,10773
36973,"「鳩山氏を党首に」　新党問題でさきがけ・武村氏が柔軟姿勢 ",NA,NA,NA,7332
56208,"アフガン新政権にタリバン穏健派も参加　米・パキスタン合意 ",NA,10538,NA,NA
2267,"自民税調、減税先行で新税促進　税制大綱、２７日決定は見送り",NA,NA,126,NA
82313,"麻生内閣支持急落１９％　「政権、民主軸に」５２％　朝日新聞社世論調査",NA,14226,NA,NA
8985,"政権維持へ低めの設定　海部首相の総選挙目標＜解説＞",NA,1752,NA,1637
88379,"民主議員総会　大荒れ　孤立の首相「選挙」言及　退陣論けん制 ",NA,15492,NA,14815
83304,"アフガン民生支援強化　岡田外相、カブールで表明　大統領と会談 ",NA,14455,NA,NA
20388,"投資減税を数百億円の規模で１０月に実施　自民税調が方針決定 ",NA,NA,1281,NA
43596,"道具　議員使う現実主義（政治家よ　第１部　壁と風：５）",NA,NA,NA,8444
39618,"次官・局長人事　内閣官房に選定委　省庁案を審査／橋本首相方針 ",NA,8006,NA,NA
12155,"国連憲章の「旧敵国条項」削除訴え　武器輸出の規制も　中山外相国連演説へ ",NA,2450,NA,NA
81611,"小沢氏秘書あす起訴　違法献金認識と判断　規正法違反＝続報注意",NA,NA,NA,13837
83328,"（政権交代　３０日目）公共事業、国交省１４％減　「人」へ大幅増　１０年度概算要求",NA,14461,NA,NA
32226,"サハリン大地震　政府の重傷者移送意向表明で受け入れ準備開始／北海道庁 ",NA,6837,NA,NA
9363,"党の指導条項削除を提案　ソ連・ゴルバチョフ書記長が基調報告　",NA,NA,NA,1752
19850,"ＰＫＯ協力法＜要点＞",NA,NA,NA,3519
84184,"民主パーティー　小沢氏話題は参院選／札幌 ",NA,NA,NA,14281
94252,"原発賠償　東電に１８自治体請求 ",NA,NA,NA,14922
54249,"米中軍用機接触事件　解決へ具体案詰めの段階に／パウエル米国務長官 ",NA,10183,NA,NA
4068,"「秘書が軽率行為」　リクルート株式取引の名義貸し　宮沢蔵相が再答弁で陳謝 ",NA,736,NA,NA
62091,"胡錦涛・中国主席と会談調整、今月末にも　小泉首相、訪米も固まる",NA,11460,NA,NA
33673,"援護法の在日韓国人除外、「不平等」違憲の疑い　年金請求は棄却／大阪地裁判決 ",NA,NA,NA,6696
23208,"相互参入へ約１０社準備　子会社設立夏から　金融制度改革法あす施行",NA,NA,NA,4194
6053,"日本人学校を国際交流の拠点に　現地に「専任者」構想／西岡文相 ",NA,1126,NA,NA
49399,"貸金業法違反事件　日栄社長をきょうにも聴取　「指示」など解明図る／警視庁 ",NA,NA,NA,9418
9342,"複数政党制へ改革案　「党の指導性」憲法から削除　ソ連",NA,NA,NA,1741
87750,"レベル７　首相「専門家の判断」 ",NA,15367,NA,NA
59810,"査察受け入れ、イラクに要求　外相会談で川口外相",NA,11109,NA,NA
6895,"スパコン、値引き５割が限度　政府が行政指導へ　米の要求にらみ先手",NA,1319,NA,NA
71366,"脱法ドラッグ初告発へ　「ＲＵＳＨ」輸入元　薬事法違反容疑で厚労省 ",NA,NA,NA,12500
13721,"法人付加税３－４％　追加支援９０億ドルで政府と自民党が骨格",NA,2876,860,2458
